candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
cutoff_1230,5,2024-10-01,3195,1015,0.3226566322160175,330,False,-0.7611561455709649,"[0.4151101844114787, -0.08588449427649553, -0.20177938427066072, -0.052649927651975154, -0.09936490986478076, -0.3018185451299578]",2024-09-28,2022-02-24
cutoff_1230,5,2025-01-01,3525,1145,0.3323540130096307,285,False,-0.7325489046988181,"[0.4277686479258765, -0.05716598672543313, -0.15584867837238137, -0.07081468317791632, -0.07949050769829975, -0.35099679868865596]",2024-12-29,2022-02-24
cutoff_1230,5,2025-04-01,3810,1194,0.3134812293120358,295,False,-0.7966258475779833,"[0.44470579946692623, -0.06360452331700092, -0.1645754146393958, -0.10799947270577724, -0.08381603125765119, -0.3553139771539298]",2025-03-29,2022-02-24
cutoff_1230,5,2025-07-01,4105,1240,0.295256238063751,330,False,-0.866074183886851,"[0.45406377219182326, 0.01755088426808784, -0.19981382344981072, -0.17125416532382784, -0.13795263267892477, -0.35349176815688715]",2025-06-28,2022-02-24
cutoff_1230,5,2025-10-01,4430,1364,0.30610088358162363,325,False,-0.9992583979724646,"[0.4435716630917655, 0.21489706261455171, -0.042234848309396764, 0.030415387911334982, 0.05776822351081663, -0.2211044922397462]",2025-09-27,2022-02-24
cutoff_1230,5,2026-01-01,4750,1427,0.2934476441555623,270,False,-0.903957987471026,"[0.48638877798622343, 0.019883922741935303, -0.23167255477260937, -0.1637708136872805, -0.13823438487699521, -0.37134140928305975]",2025-12-27,2022-02-24
cutoff_1230,5,2026-04-01,5025,1508,0.29392179819870123,310,False,-0.9158404883736656,"[0.5015897502674119, -0.032165217372951645, -0.21088250900905306, -0.17971599762385404, -0.14652250081908655, -0.3275480503171535]",2026-03-28,2022-02-24
cutoff_1230,5,2026-07-01,5335,1577,0.2867298644984332,230,False,-0.9424901916836764,"[0.5161797361603423, -0.03783244308035476, -0.1916196929132361, -0.1918919745408562, -0.15183564872404795, -0.34906124769550284]",2026-06-27,2022-02-24
cutoff_1230,10,2023-01-01,1015,193,0.19856330596125987,280,False,-1.6674112955194618,"[0.31039286901828866, 0.082934868772956, -0.08257493315630102, -0.11594362655192252, 0.20848312994279347, -0.09446648916970096]",2022-12-29,2022-02-24
cutoff_1230,10,2023-04-01,1295,302,0.24575627022802324,305,False,-1.337633435426877,"[0.29768745203551034, -0.040255765276644255, 0.004970842708747218, -0.14360722570751613, 0.24073645685285744, -0.054067251459838594]",2023-03-29,2022-02-24
cutoff_1230,10,2023-07-01,1600,421,0.27873964249736455,330,False,-1.172673913596777,"[0.34860560783356304, -0.007142176426770248, 0.007359598050030215, -0.10046535454300759, 0.19874237055516106, -0.09686899389211541]",2023-06-28,2022-02-24
cutoff_1230,10,2023-10-01,1930,532,0.2904968424097967,320,False,-1.1010200905530914,"[0.35601813901341567, -0.020077143569261286, -0.009105944444648382, -0.04262351865930237, 0.2031107445281517, -0.11097956355105167]",2023-09-28,2022-02-24
cutoff_1230,10,2024-01-01,2255,571,0.2590732527351714,285,False,-1.2513437739056443,"[0.395105786296857, -0.022491981998845337, -0.011975323001988674, -0.0092184721886674, 0.12912621636278224, -0.09729737428926542]",2023-12-29,2022-02-24
cutoff_1230,10,2024-04-01,2540,653,0.2637593970262289,300,False,-1.2471706545932906,"[0.444381849798086, -0.004670143820131893, 0.0036380502689524735, -0.008229228631254243, 0.12301978247238542, -0.10217585506079663]",2024-03-29,2022-02-24
